#   Some data used for a study of mRNA localization to mitochondria
Gene	avgTranslationInitTimeSecs	avgNumRibosomes	givenMitoLocProb
YAL010C	95.52	2.23	0.6471
YAL015C	125.58	1.01	0.0334
YAL039C	28.05	2.03	0.2212
YAL044C	16.87	1.34	0.0584
YAL048C	70.49	4.37	0.0400
YAL056W	1275.58	1.29	0.8167
YAR008W	136.17	0.51	0.0212
YBL022C	23.68	39.16	0.3289
YBL030C	2.69	27.95	0.6315
YBL045C	11.18	11.75	0.0042
YBL064C	10.41	5.2	0.1451
YBL080C	295.57	1.23	0.0006
YBL090W	23.22	1.33	0.0109
YBL098W	50.91	2.55	0.0002
YBL099W	5.15	31.5	0.0151
YBR003W	53.38	3.43	0.8109
YBR024W	25.89	2.9	0.6290
YBR026C	17.29	6.59	0.4632
YBR029C	18.84	10.32	0.0097
YBR037C	33.04	2.68	0.5398
YBR039W	5.71	9.88	0.0363
YBR044C	161.46	1.48	0.8008
YBR084W	39.08	14.32	0.8988
YBR085W	38.39	1.37	0.6433
YBR091C	14.81	1.07	0.0084
YBR104W	102.16	0.8	0.5393
YBR120C	10.7	1.9	0.0117
YBR121C	22.65	9.18	0.0519
YBR122C	30.23	0.8	0.0226
YBR146W	22.98	3.05	0.3414
YBR163W	233.88	1.12	0.4899
YBR179C	45.48	6.7	0.0223
YBR185C	28.36	2.41	0.7434
YBR192W	84.78	1.45	0.6165
YBR221C	11.02	7.16	0.2731
YBR227C	30.34	6.8	0.7651
YBR251W	43.8	1.65	0.0154
YBR263W	7.46	22.6	0.6804
YBR268W	14.42	0.94	0.0679
YBR282W	14.07	1.25	0.0385
YBR291C	70.29	1.18	0.2446
YCL009C	5.05	20.39	0.0841
YCL017C	12.86	14.36	0.6929
YCL044C	11.22	12.62	0.7631
YCL064C	19.17	5.03	0.7211
YCR003W	25.14	0.89	0.6272
YCR004C	7.97	5.69	0.0042
YCR024C	35.3	4.98	0.5475
YCR046C	9.04	4.28	0.0000
YCR071C	10.24	2.31	0.0009
YCR083W	7.77	2	0.1326
YDL004W	4.57	4.74	0.0206
YDL033C	180.11	1.15	0.1962
YDL044C	63.38	1.44	0.1904
